一毛不拔,zdic解释
偃旗息鼓,放倒旗子，停止敲鼓||原指行军时隐蔽行踪，不让敌人觉察||现比喻事情终止或声势减弱
妄自尊大,过高地看待自己||形容狂妄自大，不把别人放眼里
得心應手,心里怎么想，手就能怎么做||比喻技艺纯熟或做事情非常顺利
乘風破浪,船只乘着风势破浪前进||比喻排除困难，奋勇前进
滿城風雨,城里到处刮风下雨||原形容重阳节前的雨景||后比喻某一事件传播很广，到处议论纷纷
敝帚自珍,把自己家里的破扫帚当成宝贝||比喻东西虽然不好，自己却很珍惜
兔死狗烹,兔子死了，猎狗就被人烹食||比喻给统治者效劳的人事成后被抛弃或杀掉
拋磚引玉,抛出砖去，引回玉来||比喻用自己不成熟的意见或作品引出别人更好的意见或好作品
門庭若市,门前和院子里人很多，象市场一样||原形容进谏的人很多||现形容来的人很多，非常热闹
殺身成仁,指为正义而牺牲生命||后泛指为了维护正义事业而舍弃自己的生命
一視同仁,原指圣人对百姓一样看待，同施仁爱||后多表示对人同样看待，不分厚薄
雪中送炭,在下雪天给人送炭取暖||比喻在别人急需时给以物质上或精神上的帮助
甘拜下風,表示真心佩服，自认不如
無地自容,没有地方可以让自己容身||形容非常羞愧
過河拆橋,自己过了河，便把桥拆掉||比喻达到目的后，就把帮助过自己的人一脚踢开
前倨後恭,以前傲慢，后来恭敬||形容对人的态度改变
弄巧成拙,本想耍弄聪明，结果做了蠢事
噤若寒蟬,象深秋的蝉那样一声不吭||比喻因害怕有所顾虑而不敢说话
瓜田李下,比喻容易引起嫌疑的场合
望塵莫及,望见前面骑马的人走过扬起的尘土而不能赶上||比喻远远落在后面
半途而廢,指做事不能坚持到底，中途停顿，有始无终
一籌莫展,一点计策也施展不出，一点办法也想不出来
抱薪救火,抱着柴草去救火||比喻用错误的方法去消除灾祸，结果使灾祸反而扩大
大器晚成,指能担当重任的人物要经过长期的锻炼，所以成就较晚||也用做对长期不得志的人的安慰话
莫逆之交,指非常要好的朋友
按圖索驥,按照画像去寻求好马||比喻墨守成规办事||也比喻按照线索去寻求
強弩之末,强弩所发的矢，飞行已达末程||比喻强大的力量已经衰弱，起不了什么作用
一網打盡,比喻一个不漏地全部抓住或彻底肃清
蜀犬吠日,原意是四川多雨，那里的狗不常见太阳，出太阳就要叫||比喻少见多怪
曲突徙薪,把烟囱改建成弯的，把灶旁的柴草搬走||比喻事先采取措施，才能防止灾祸
矯枉過正,把弯的东西扳正，又歪到了另一边||比喻纠正错误超过了应有的限度
吳牛喘月,吴地水牛见月疑是日，因惧怕酷热而不断喘气||比喻因疑心而害怕
居安思危,虽然处在平安的环境里，也想到有出现危险的可能||指随时有应付意外事件的思想准备
賓至如歸,客人到这里就象回到自己家里一样||形容招待客人热情周到
不恥下問,乐于向学问或地位比自己低的人学习，而不觉得不好意思
不可救藥,病已重到无法用药医治的程度||比喻已经到了无法挽救的地步
河東獅吼,比喻悍妒的妻子对丈夫大吵大闹
手舞足蹈,两手舞动，两只脚也跳了起来||形容高兴到了极点||也手乱舞、脚乱跳的狂态
愛屋及烏,因为爱一个人而连带爱他屋上的乌鸦||比喻爱一个人而连带地关心到与他有关的人或物
不脛而走,没有腿却能跑||比喻事物无需推行，就已迅速地传播开去
大義滅親,为了维护正义，对犯罪的亲属不循私情，使受到应得的惩罚
越俎代庖,主祭的人跨过礼器去代替厨师办席||比喻超出自己业务范围去处理别人所管的事
水滴石穿,水不停地滴，石头也能被滴穿||比喻只要有恒心，不断努力，事情就一定能成功
炙手可熱,手摸上去感到热得烫人||比喻权势大，气焰盛，使人不敢接近
因噎廢食,原意是说，因为有人吃饭噎死了，就想让天下人都不吃饭，这太荒谬了||比喻要做的事情由于出了点小毛病或怕出问题就索性不去干
草菅人命,把人命看作野草||指任意残害人命
排難解紛,原指为人排除危难，解决纠纷||今指调停双方争执
如魚得水,好像鱼得到水一样||比喻有所凭借||也比喻得到跟自己十分投合的人或对自己很合适的环境
流芳百世,好的名声永远流传下去
眾志成城,万众一心，象坚固的城墙一样不可摧毁||比喻团结一致，力量无比强大
管中窺豹,从竹管的小孔里看豹，只看到豹身上的一块斑纹||比喻只看到事物的一部分，指所见不全面或略有所得
南柯一夢,形容一场大梦，或比喻一场空欢喜
沽名吊譽,指用某种不正当的手段捞取名誉
沽名邀譽,指用某种不正当的手段捞取名誉
物極必返,事物发展到极点，会向相反方向转化
變風改俗,指改变旧的风气和习俗
變起蕭牆,禍變發生在內部
怙惡不改,坚持作恶，不肯悔改
巷議街談,大街小巷间人们的议论
草廬三顧,刘备为请诸葛亮，三次到草庐中去拜访他||后用此典故表示帝王对臣下的知遇之恩||也比喻诚心诚意地邀请或过访
按兵不舉,犹按兵不动
赴湯投火,沸水敢蹚，烈火敢踏。||比喻不避艰险，奋勇向前。
指日而待,指不久即可实现
鴉雀無聞,连乌鸦麻雀的声音都没有||形容非常静
鴉鵲無聲,形容非常静
指桑說槐,比喻明指此而暗骂彼
標新取異,新的獨到見解，與諸家立論不同
枯木死灰,身如枯木，心如死灰||比喻极其消极悲观
赴湯跳火,沸水敢蹚，烈火敢踏。||比喻不避艰险，奋勇向前。
相得恨晚,认识太晚了
星眸皓齒,明亮的眼睛，潔白的牙齒。||形容女子容貌明麗
背生芒刺,犹言芒刺在背
臨深履冰,面临深渊，脚踩薄冰。||比喻小心谨慎，惟恐有失。
臨渴穿井,临到口渴时才想到凿井||比喻事到临头才想办法
指鹿作馬,比喻有意颠倒黑白，混淆是非
怨聲盈路,道路上到處充滿了埋怨的聲音。||形容群眾普遍的怨恨和不滿
膽驚心戰,形容十分驚慌害怕
盈篇累牘,形容文辞冗长
信口開喝,比喻随口乱说一气
膽顫心驚,形容非常害怕
膽驚心顫,形容十分驚慌害怕
怨聲載路,道路上到處充滿了埋怨的聲音。||形容群眾普遍的怨恨和不滿
說梅止渴,比喻愿望无法实现，用空想安慰自己
惱羞變怒,由于羞愧到了极点，下不了台而发怒
哀鴻遍地,比喻啼饥号寒的灾民||比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民
逆耳忠言,誠懇正直的規勸往往刺耳，而不易被人接受
逆行倒施,犹言倒行逆施||原指做事违反常理，不择手段||现多指所作所为违背时代潮流或人民意愿
前功盡滅,以前取得的功劳全部丢掉了
前功皆棄,以前取得的功劳全部丢掉了
養虎留患,比喻纵容敌人，自留后患
神機妙用,指神奇的謀略，巧妙的算計。||形容計策高明、預料準確
前倨後卑,先傲慢后恭顺
神術妙法,指神奇的謀略，巧妙的算計。||形容計策高明、預料準確
屋下蓋屋,比喻机构或文章结构重叠。
神謀妙策,指神奇的謀略，巧妙的算計。||形容計策高明、預料準確
神術妙策,指神奇的謀略，巧妙的算計。||形容計策高明、預料準確
神機妙術,指神奇的謀略，巧妙的算計。||形容計策高明、預料準確
駱驛不絕,犹言络绎不绝
眉歡眼笑,形容非常兴奋、高兴
矜矜業業,形容戒慎恐懼，認真負責的樣子
柔懦寡斷,指软弱面不果断
退徙三舍,指作戰時，將部隊往後撤退九十里
洞如觀火,形容观察事物非常清楚，好像看火一样
秦庭朗鏡,传说 秦始皇 有镜，能照见人肠胃五脏等||见《西京杂记》卷三||后因以“秦庭朗镜”比喻明于审案的官吏||《初刻拍案惊奇》卷十一：“负屈寒儒，得遇 秦 庭朗镜||行凶诡计，难逃 萧相 明条||”
泰來否往,逆境达到极点，就会向顺境转化||指坏运到了头好运就来了
絡驛不絕,形容行人车马来来往往，接连不断。
捕風弄月,風和影子均無可捉摸，比喻所做的事或所說的話毫無根據，憑空揣測
捕影拿風,風和影子均無可捉摸，比喻所做的事或所說的話毫無根據，憑空揣測
惡稔禍盈,意思是罪恶积蓄成熟，像钱串已满。||形容作恶多端，末日来临。
惡稔罪盈,意思是罪恶积蓄成熟，像钱串已满。||形容作恶多端，末日来临。
惡稔貫盈,意思是罪恶积蓄成熟，像钱串已满。||形容作恶多端，末日来临。
損本逐末,犹舍本逐末||谓抛弃根本，专在枝节上用功夫
恐後爭先,指害怕落后，追求上进
珠沉滄海,珍珠沉在大海里||比喻人才被埋没
莫逆之友,指非常要好或情投意合的朋友。
礪兵秣馬,指完成作戰準備
殊致同歸,比喻采取不同的方法而得到相同的结果
莫逆之契,莫逆之友 」指心意相投的朋友
殊方同致,犹殊途同归||比喻采取不同的方法而得到相同的结果
莫措手足,指手腳無處安放。||形容人惶恐不安，不知如何是好
破鏡重合,比喻夫妻失散或离婚后重新团聚||同“破镜重圆”
逢場作樂,犹言逢场作戏||偶尔随俗应酬凑凑热闹
倒屣而迎,因急著迎接客人，而將鞋子穿倒了
倒屣迎賓,因急著迎接客人，而將鞋子穿倒了
倒屐相迎,因急著迎接客人，而將鞋子穿倒了
透古通今,學問淵博，通曉古今
鐵打心腸,谓心肠像铁铸成的||形容人刚强的秉性
剖肝瀝膽,比喻开诚相待
益無忌憚,形容人恣意妄為，毫無顧忌
冤家路狹,指仇人或不愿意相见的人，偏偏容易碰见，来不及回避
袖手傍觀,形容置身事外，不予過問
病染膏肓,比喻事情到了无法挽救的地步
疾聲大呼,指大聲而急促的呼喊
塗炭生民,指人民生活陷於泥沼和炭火之中||形容人民處於極端艱苦的困境
流汗浹背,①形容出汗多，湿透了背上的衣服||②形容惭愧不安之极
流芳萬古,美名流傳後世、為人所稱頌
高枕不虞,形容身心安適，無憂無慮
高枕安臥,垫高枕头安心地睡觉||形容无忧无虑||平安无事
高節清風,气节高尚，作风清廉||比喻人品高洁
勒馬懸崖,臨到懸崖時，緊勒住馬，不繼續前進。||比喻到了危險的邊緣而及時回頭
高譚清論,本指見地高超、範圍廣闊地談論||比喻暢快而無拘束地談論。||或沒有實質內容，空泛而漫無邊際地談論。
通時達變,做理能适应客观情况的变化，懂得变通，不死守常规
蕭牆禍起,指祸乱发生在家里||比喻内部发生祸乱
萍水相遭,比喻兩個人本來不相識，因機緣巧合偶然相逢，同時亦指交情尚屬微淺
高枕勿憂,犹言高枕无忧
萍水相遇,比喻兩個人本來不相識，因機緣巧合偶然相逢，同時亦指交情尚屬微淺
夢裡南柯,後用「南柯一夢」比喻人生如夢，富貴得失無常
接應不暇,形容景物繁多，來不及觀賞
推心致腹,把赤诚的心交给人家||比喻真心待人
推誠布信,比喻誠意待人，坦白無私
推誠置腹,比喻真心待人||同“推心置腹”
展轉反側,形容因心事重重而翻來覆去睡不著覺
排患解紛,原指为人排除危难，解决纠纷||今指调停双方争执
釁起蕭牆,指祸乱发生在家里||比喻内部发生祸乱
銖銖校量,指斤斤计较
高枕無虞,形容身心安適，無憂無慮
逸以待勞,犹以逸待劳
釁發蕭牆,比喻事端或灾祸发生在内部
掩耳偷鈴,比喻自己欺骗自己
偃旗臥鼓,原指行军时隐蔽行踪，不让敌人觉察||现比喻事情终止或声势减弱
欲蓋而彰,犹欲盖弥彰
黃袍加體,比喻发动政变获得成功||同“黄袍加身”
得寸思尺,指可掌握侵略所得的每一分土地
惜香憐玉,憐香」，喜愛花香
驚弦之鳥,比喻经过惊吓的人碰到一点动静就非常害怕
望風而靡,①见对方的威势就服服帖帖||形容畏惧之状||②望见对方就为之折服倾倒||形容钦敬之状||③形容军无斗志
清原正本,比喻澈底改革以解決問題
情孚意合,形容双方思想感情融洽，合得来
深惡痛嫉,极其厌恶、痛恨
深謀遠猷,計畫周密而慮事深遠
深謀遠略,指计划得很周密，考虑得很长远
禍興蕭牆,比喻禍亂發生於內部
禍稔蕭牆,比喻禍亂發生於內部
深圖遠慮,計畫周密而慮事深遠
隨波逐塵,犹言随波逐流||比喻没有坚定的立场，缺乏判断是非的能力，只能随着别人走
禍首罪魁,犯罪作恶的首罪者
殫心竭慮,指竭盡精力與思慮
禍發蕭牆,比喻禍亂發生於內部
殫精畢力,指竭盡精力與思慮
清貧如洗,指穷得一无所有
情不自堪,感情激動得無法自我控制
淹淹一息,形容呼吸微弱，濒于死亡
欺世釣譽,比喻欺騙世人，盜取名譽。
斯文委地,指禮樂教化的典章制度被毀壞廢棄或文人不受尊重；||後亦指文人不顧操守，自甘墮落。
超類絕倫,指超出寻常，无与伦比
朝四暮三,原用以比喻只變名目，不改實質||比喻人心意不定、反覆無常||亦可用於比喻事物變化無定
殫精畢思,指竭盡精力與思慮
掣襟肘見,形容人衣衫破敗，才抓住衣襟蔽胸，又露出了手肘||比喻短缺不足、窮於應付的窘態。
銳未可當,形容氣勢威猛，所向無敵
皓齒星眸,形容女子容貌明麗
循循誘人,善於循序漸進地誘導別人
孳孳不倦,指工作或学习勤奋不知疲倦
裝模做樣,指勤下工夫，苦心經營，極為堅持的模樣
短兵接戰,指近距离搏斗||比喻面对面地进行激烈的斗争
循次而進,依照一定的步聚或次序逐步推进或提高
裝腔做勢,指故意裝出某種腔調或姿態
遺臭千年,死后恶名流传，永远受人唾骂
遺臭萬代,死后恶名流传，永远受人唾骂
緩步代車,慢步行走以代乘车
感激流涕,感激落淚，形容非常感謝
感激涕泗,感激落淚，形容非常感謝
摸棱兩可,摸物稜角兩端，摸那一端都可以。||比喻處理事情的態度含混，不表示明確的意見或主張
暗箭中人,放冷箭伤害人||比喻暗中用阴险的手段攻击或陷害别人
置之高閣,捆起来以后放在高高的架子上||比喻放着不用
路無拾遺,指东西掉在路上，人们不会捡起据为己有||形容社会风尚好
愁眉苦眼,形容愁苦的神色
愁顏不展,雙眉緊鎖，很憂愁的樣子
愁眉苦目,形容憂傷、愁苦的神色
辭嚴氣正,言辞严厉，义理正大
觸類而長,意指掌握一类事物知识或规律，就能据此而增长同类事物知识
滔滔不盡,比喻像流水一样连续不断
滔滔不竭,比喻像流水一样连续不断
兢兢翼翼,形容做事谨慎、勤恳
觸目駭心,目光所及，令人內心深受衝擊
誓山盟海,指男女相爱时立下的誓言，表示爱情要象山和海一样永恒不变
摘句尋章,摘取、搜寻文章的片断词句||指读书局限于文字的推求
意轉心回,改变想法，不再坚持过去的意见
箕裘相繼,比喻子继父业
群口鑠金,眾口所毀，雖金石猶可銷。||比喻眾口同聲，往往積非成是
端本正源,指从根本上加以整顿清理
瘦骨如柴,十分削瘦的样子
遮人眼目,指遮掩别人的视听，掩饰真情
裹尸馬革,用马皮包裹尸体||形容将士战死沙场的英勇无畏的气慨
漏網游魚,從網眼中逃出去的魚，比喻僥倖逃脫法網的人
裹足不進,形容有所顧忌，而停止腳步，不敢向前
精忠報國,为国家竭尽忠诚，牺牲一切
縮衣節口,指省吃省穿，生活节俭
德以報怨,不記仇恨，反以恩德回報他人
德深望重,形容人品德高尚，極有聲望
額手稱頌,把手放在额上，表示庆幸
鏤心刻骨,形容感念深切，难以忘怀
鶴處雞群,鶴站在雞群之中，非常突出。||比喻人的儀表才能超群脫凡
摩頂至足,犹摩顶放踵||形容不辞劳苦，不顾身体
摩頂至踵,犹摩顶放踵||形容不辞劳苦，不顾身体
激忿填膺,强烈的忿怒填满胸中||形容气愤已极
燃膏繼晷,指燃燒燈燭讀書寫作一直到第二天日光出現||形容夜以繼日地勤讀不怠
蹈規循矩,指遵守规矩
顛撲不磨,無論怎麼摔打都不破。||比喻理論真確可靠，永遠不能被改易或推翻
磨踵滅頂,指磨禿頭頂，走破腳後跟
繁文末節,过分繁琐的仪式和礼节||比喻琐碎多余的事情
濡沫涸轍,泉水乾涸，魚兒以口沫互相潤溼
燕雀處屋,比喻生活安定而失去警惕性||也比喻大祸临头而自己不知道
顛簸不破,无论怎样摔打都破不了||比喻理论学说完全正确，不会被驳倒推翻
爨桂炊玉,柴禾难得如桂木，米价贵得如珠玉||形容物价昂贵，生活艰难
戮力齊心,齊心合力，團結一致
蹈赴湯火,比喻不避艰险
藕斷絲聯,蓮藕斷了，藕絲仍相連。||比喻表面關係斷絕，實際仍有牽連。多指男女間情意未絕
鞭不及腹,原意是鞭子虽长，也不能打马肚子||比喻相隔太远，力量达不到
囊中取物,比喻事情極容易辦到
露面拋頭,露出头和面孔||原指妇女出现在大庭广众之中||现指公开露面
蠢若木雞,木雞，木頭製成的雞，任何情況下皆紋風不動，比喻修養深厚、態度沈穩
一舉兩全,指一举措而能顾全两面
仰承鼻息,比喻依靠他人生活
東床嬌婿,对女婿的美称
不共之仇,不與殺父的仇人共存於世間
倚馬成文,後用「倚馬可待」比喻文思敏捷，寫作迅速
美奐美輪,形容房屋規模高大、裝飾華美
珠連璧合,指日月、五星同时出现于天的一方||亦泛指日月五星普照天下
不識時變,比喻不知利用時運以求通達
孔席不暖,指孔子急于推行其道，到处奔走，每至一处，坐席未暖，又急急他往，不暇安居
低頭喪氣,指失意颓丧的样子
瀝膽隳肝,犹沥胆披肝||比喻开诚相见||也形容非常忠诚
心驚肉顫,形容恐懼不安，心神不寧
豺狼當路,比喻暴虐奸邪的人掌握国政
水洩不通,象是连水也流不出去||形容拥挤或包围的非常严密||同“水泄不通”
落葉歸根,飘落的枯叶，掉在树木根部||比喻事物有一定的归宿||多指客居他乡的人，终要回到本乡
饑不擇食,不管什么都吃||比喻需要急迫，顾不得选择
多華少實,只開花而不結果，比喻虛浮而不切實際
梅林止渴,後用「望梅止渴」比喻以空想來安慰自己
坐薪懸膽,坐卧在柴草上，悬胆尝其味||比喻刻苦自励，奋发图强
流連忘反,留恋不舍，忘记返回
殊塗同歸,本指由不同途径达到同一目的地||后比喻采用不同方法得到相同结果
瞠乎後矣,比喻落後很多，追趕不上
脫胎換體,原指經過修煉和服食丹藥，脫去凡胎，換俗骨為仙骨||後用以比喻澈底改變||比喻作詩文雖效法別人，但不露痕跡，且能創出新意。
一筆三過,原指書法中的一捺，筆鋒需作三次轉折，使之曲折多姿
巧言花語,形容虛假而動聽的言語
壹敗塗地,指彻底失败，不可收拾
引鴆止渴,指飲毒酒以解渴。||比喻只求解決眼前困難，而不顧將來更大的禍患
樂極哀生,歡樂到了極點，往往會轉生悲哀
死灰復然,比喻失势者重新得势或停息的事物又重新活动起来
髮引千鈞,一根头发系着千钧重的东西||比喻极危急
欲蓋彌章,形容想要掩飾過失，反而使過失更加明顯
尊俎折衝,比喻在宴席谈判中制胜对方
秋毫無取,指連細微的秋毫都不侵犯，比喻對任何東西都不侵犯、不動用
馬革裹尸,用马皮把尸体裹起来||指英勇牺牲在战场
令人深省,啟發人深刻思考而有所醒悟
反邪歸正,指改正錯誤的行為，返回正途
揮金似土,比喻極端浪費錢財
高檯明鏡,後用「明鏡高懸」比喻官吏辦事明察無私，執法公正嚴明
作法自弊,指自己立法反而使自己受害
衰當益壯,指年紀雖大但身體仍然強健，且志氣豪壯
渾淪吞棗,整个地吞下枣子||比喻笼统地接受，不加分析，食而不化
鶻崙吞棗,把枣子整个儿吞下，不细嚼辨味||常比喻在学习上食而不化，不加分析
舉軍盡沒,比喻完全喪失或澈底失敗
魚遊釜中,鱼在锅里游||比喻处境危险，快要灭亡
眼高手生,比喻要求標準高，而實行能力低。
改絃易轍,琴换弦，车改道||比喻改变原来的方向、计划、办法等
神術妙計,指神妙莫测的计谋
一矢雙穿,犹一箭双雕||比喻做一件事达到两个目的
一帆順風,比喻非常顺利，没有任何阻碍
一呼百喏,形容恭敬順從
一念差池,一個念頭的差錯
一枕南柯,指一场梦幻
一長二短,指意外的灾祸或事故
一開生面,原指重新描繪舊畫像，而使原已褪色的面貌變得鮮明、生動
一錢不直,一文錢也不值，比喻毫無價值
一趨一步,指學生追隨老師的腳步
七竅煙生,指眼耳鼻口都冒出火來，形容焦急或氣憤到了極點
七竅煙騰,指眼耳鼻口都冒出火來，形容焦急或氣憤到了極點
了無所有,什麼都沒有
入夢生花,比喻才思泉湧、文筆富麗
十全之美,十全，指治療十個人，十個人都能痊癒
下筆成詠,比喻才思敏捷，且具文采
千丈一落,本指琴聲由高驟然下降到很低
千轉萬變,形容變化無窮
口出不遜,说出的话非常不谦逊
口呿目瞪,形容受驚或受窘以致神情痴呆的樣子
大廷廣眾,指聚集很多人的公开场合
大喜踰望,因結果超過原本預期而感到特別高興
大繆不然,大错特错，完全不是这样
小試割雞,比喻有大才能，在小事上施展
尸利素餐,指空食俸禄而不尽其职，无所事事
尸祿素餐,指空食俸禄而不尽其职，无所事事
弓影浮杯,形容疑神疑鬼，自相惊扰
才高倚馬,後用「倚馬可待」比喻文思敏捷，寫作迅速
才堪倚馬,後用「倚馬可待」比喻文思敏捷，寫作迅速
不可救療,病已重到无法治疗的程度||比喻已经到了无法挽救的地步
不可擢髮,指把頭髮拔盡，也無法用以計數所犯的罪行||形容罪狀極多，難以計數
不共天地,不與殺父的仇人共存於世間
不同日月,不與殺父的仇人共存於世間
不見書傳,以往的典籍中從未記載過||於比喻缺乏根據，沒有來歷。
不直一文,鄙视之词，犹言毫无价值||比喻无能或品格卑下
不為凡響,後用來比喻特出、不平凡的人或事物
不值半文,一文錢也不值，比喻毫無價值
不動聲氣,一聲不響，不流露感情
不脩邊幅,形容不讲究衣饰仪容或不拘形式小节||亦作“不修边幅”
不暇思索,指不經過思考探求，立即做出反應
不學亡術,指不知研習經典，並從中獲取經驗與知識，以致行為處事有所偏頗或錯誤||泛指人未經學習而沒有學問才幹。
不辨菽粟,分不清哪是豆子，哪是小米||形容愚笨无知||后形容缺乏实际生产知识
不辯菽麥,分不清哪是豆子，哪是麦子||形容愚笨无知||后形容缺乏实际生产知识
中乾外強,形容馬的外表看似強壯，內在卻氣力衰竭||泛喻各種事物外表看似充實強盛，實則空虛衰弱。
予奪生殺,生存、殺害、給予、奪取。||比喻人切身的一切事情
井底蝦蟆,住在井底的青蛙。||比喻見識淺薄的人
井然不紊,形容整齊有序，條理分明
五日尹京,指只能再做五日的京兆了||比喻即將去職
分文不直,一分钱一文钱也不值||形容没有任何价值
分廷抗禮,指分處庭中，相對設禮，以平等的禮節相見。||比喻地位相當
分毫不直,一文錢也不值，比喻毫無價值
切瑳琢磨,比喻学习或研究问题时彼此商讨，互相吸取长处，改正缺点
化險為平,轉化危險為平安
反覆不常,形容變動不定，沒有定準
天地誅戮,犹天诛地灭||比喻为天地所不容
天花墜地,犹天诛地灭||比喻为天地所不容
太山壓卵,比喻強弱懸殊，穩操勝算
心正氣和,心氣平和，不急不怒
心如刀剉,犹心如刀割||内心痛苦得象刀割一样
心迴意轉,指改變心意
心猨意馬,比喻心思不專注集中
日坐針氈,後用「如坐針氈」比喻身心痛苦，惶恐難安
毛髮為聳,形容極端驚懼害怕
水火深熱,比喻處境非常艱困、痛苦
水乳相資,比喻彼此關係密切，契合無間
水流花落,①比喻飘泊不定或踪迹无常||②比喻时过境迁
以咽廢飧,因為怕噎死，而不再吃東西。||比喻曾經出過差錯，唯恐再錯而不去做該做的事。
以桃代李,比喻以自身去顶替别人
付諸一炬,一把火全部烧了
功墮垂成,指事情在即將成功時卻失敗了
包藏姦心,犹言包藏祸心
包藏逆心,懷藏詭計，圖謀害人
包羅萬彙,形容內容豐富，應有盡有
另眼看覷,犹另眼相看||《古今小说·单符郎全州佳偶》：“官府都另眼看觑，谁人轻贱你？”《二刻拍案惊奇》卷十一：“连 青箱 也算做日前有功之人，另眼看觑！别是一分颜色||” 明 王衡 《郁轮袍》第二折：“ 歧王 不曾另眼看觑咱哩||”
巧言善色,指話說得很動聽，臉色裝得很和善，可是一點也不誠懇||形容人矯情虛偽
未識一丁,不认识一个字，指没有文化的人
玉石俱燼,美玉和石頭一同被燒毀
瓦釜鳴雷,指陶製的鍋具，本來不會發生巨大聲音，但如此平庸之物竟發出如雷的巨響，比喻平庸無才德的人卻居於顯赫的高位
生死與奪,比喻人切身的一切事情
石填大海,本指炎帝幼女女娃溺死東海，化為精衛鳥，憤而銜木石以填東海的故事||後用「精衛填海」比喻心懷冤憤，立志報仇||亦比喻意志堅定，不懼艱苦
石爛松枯,一語因海枯石爛萬年難見，所以比喻歷時久遠。||又依常理，海不會枯，石不會爛，所以比喻意志堅定，永不改變。
亥豕帝虎,指因文字形似而致傳寫或刊刻錯誤。
亥豕魚魯,指因文字形似而致傳寫或刊刻錯誤。
休慼是同,形容彼此同甘共苦
列鼎鳴鐘,古代富貴人家吃飯時，擊鐘為號，列鼎而食。||形容富貴之家的奢侈豪華
列鼎撞鍾,古代富貴人家吃飯時，擊鐘為號，列鼎而食。||形容富貴之家的奢侈豪華
危如壘卵,比喻情況非常危險
危猶累卵,比喻情況非常危險
同船濟水,同乘一條船渡河，比喻同心協力，戰勝困難
同歸殊塗,原指天下万事初虽异，然终究同归于一||后泛指途径不同而结果相同
吊虎離山,比喻用計誘使對方離開他的據點，以便趁機行事，達成目的
向若之歎,形容因驚奇而仰視發出驚嘆
因咽去食,因為怕噎死，而不再吃東西。||比喻曾經出過差錯，唯恐再錯而不去做該做的事
回心改念,指改變心意
夙夜不解,形容日夜谨慎工作，勤奋不懈
多岐亡羊,比喻事理繁雜多變，求道者誤入迷途，而終無所成
好事多魔,多指男女佳期不順
好高務遠,指一味地嚮往高遠的目標而不切實際
如繭自纏,蠶吐絲結繭，將自己包裹於內
守株伺兔,比喻拘泥守成||比喻妄想不勞而獲或等著目標自己送上門來
安分潔己,安於本分，謹守其身
安貧守道,安于贫穷，恪守信仰
有名亡實,指虛有其名而無實際內容
有眼共見,指事實極為明顯，眾所周知
死心倒地,形容心意已定，不再改變
死心榻地,形容心意已定，不再改變
死灰復燎,將已經熄滅的灰燼，又重新燃燒起來，||比喻失勢者重新得勢
江淹夢筆,传说南朝梁江淹夜梦郭璞索还五色笔，尔后为诗遂无佳句||后以之比喻才思减退
百結懸鶉,比喻衣衫破烂||鹑鸟尾秃，像补缀百结，故云
老姦大猾,形容人世故老練、極為奸詐狡猾
老姦巨猾,指非常阴险狡诈的人
老馬識塗,後用「老馬識途」比喻有經驗的人對情況比較熟悉，容易把工作做好
肉圃酒池,用以形容酒肉之多
自彊不息,自己不斷努力向上，永不懈怠
至言不繁,說話精要，不囉嗦
行尸坐肉,比喻不动脑筋，不起作用，糊里糊涂过日子的人
行尸走骨,比喻不动脑筋，不起作用，糊里糊涂过日子的人
行屍視肉,比喻不动脑筋，不起作用，糊里糊涂过日子的人
兵慌馬亂,形容战争期间社会混乱不安的景象
冷眼傍觀,形容用冷靜的眼光在旁觀察
冷嘲閑諷,形容尖酸、刻薄的嘲笑和諷刺
冷嘲熱謔,形容尖酸、刻薄的嘲笑和諷刺
冷譏熱諷,形容尖酸、刻薄的嘲笑和諷刺
別出新裁,指独创一格，与众不同
利以昏智,形容受利慾迷惑，使得理智昏亂
否往泰來,指厄运过去，好运到来
呆似木雞,呆得象木头鸡一样||形容因恐惧或惊异而发愣的样子
吹毛取瑕,比喻刻意挑剔過失或缺點
困獸思鬥,比喻處於絕境，仍然奮力抵抗
坐而待弊,坐着等死||比喻遭遇危难而不采取积极的措施
壯志淩雲,形容理想宏伟远大
妝喬作勢,指故意裝出某種腔調或姿態
妝腔作勢,指故意裝出某種腔調或姿態
妝麼做勢,指故意裝出某種腔調或姿態
妝模作樣,故意做样子给人看
妝模做樣,指勤下工夫，苦心經營，極為堅持的模樣
妙策神機,指神奇的謀略，巧妙的算計||形容計策高明、預料準確
妙算神機,形容智谋无穷，善于洞察形势，计策得当
弄巧反拙,本想耍弄聪明，结果做了蠢事
弄巧翻拙,比喻枉費心機
形不離影,形容關係密切，不能分開
形孤影孑,指身形與影子都是孤獨的||形容孤單無伴
形孤影隻,形容孤独，没有同伴||同“形单影只”
忘年交誼,不拘年歲行輩而結交為友
折衝俎豆,指在酒宴談判間，不以武力制敵取勝
折衝罇俎,指在酒宴談判間，不以武力制敵取勝
投石填海,本指炎帝幼女女娃溺死東海，化為精衛鳥，憤而銜木石以填東海的故事||後用「精衛填海」比喻心懷冤憤，立志報仇||亦比喻意志堅定，不懼艱苦
改過從新,改正過失，重新作人
改調解張,指若琴瑟聲音不諧調，便得更換其弦
李代桃殭,李樹代替桃樹受蟲咬而枯死||比喻以此代彼或代人受過。
李代僵桃,李樹代替桃樹受蟲咬而枯死
